x1,x2,z1,z2,y
0.0120000000,0.6040000000,-0.0120000000,-0.6040000000,2.2276477993
0.0120000000,0.6260000000,-0.0120000000,-0.6260000000,2.2276477993
0.0120000000,0.6480000000,-0.0120000000,-0.6480000000,2.2276477993
0.0120000000,0.6700000000,-0.0120000000,-0.6700000000,2.2276477993
0.0120000000,0.6920000000,-0.0120000000,-0.6920000000,2.2276477993
0.0120000000,0.7140000000,-0.0120000000,-0.7140000000,2.2276477993
0.0120000000,0.7360000000,-0.0120000000,-0.7360000000,2.2276477993
0.0120000000,0.7580000000,-0.0120000000,-0.7580000000,2.2276477993
0.0120000000,0.7800000000,-0.0120000000,-0.7800000000,2.2276477993
0.0120000000,0.8020000000,-0.0120000000,-0.8020000000,2.2276477993
0.0120000000,0.8240000000,-0.0120000000,-0.8240000000,2.2276477993
0.0120000000,0.8460000000,-0.0120000000,-0.8460000000,2.2276477993
0.0120000000,0.8680000000,-0.0120000000,-0.8680000000,2.2276477993
0.0120000000,0.8900000000,-0.0120000000,-0.8900000000,2.2276477993
0.0120000000,0.9120000000,-0.0120000000,-0.9120000000,2.2276477993
0.0120000000,0.9340000000,-0.0120000000,-0.9340000000,2.2276477993
0.0120000000,0.9560000000,-0.0120000000,-0.9560000000,2.2276477993
0.0120000000,0.9780000000,-0.0120000000,-0.9780000000,2.2276477993
0.0120000000,1.0000000000,-0.0120000000,-1.0000000000,2.2276477993
0.0240000000,-0.1000000000,-0.0240000000,0.1000000000,2.2211990627
0.0240000000,-0.0780000000,-0.0240000000,0.0780000000,2.2211990627
0.0240000000,-0.0560000000,-0.0240000000,0.0560000000,2.2211990627
0.0240000000,-0.0340000000,-0.0240000000,0.0340000000,2.2211990627
0.0240000000,-0.0120000000,-0.0240000000,0.0120000000,2.2211990627
0.0240000000,0.0100000000,-0.0240000000,-0.0100000000,2.2211990627
0.0240000000,0.0320000000,-0.0240000000,-0.0320000000,2.2211990627
0.0240000000,0.0540000000,-0.0240000000,-0.0540000000,2.2211990627
0.0240000000,0.0760000000,-0.0240000000,-0.0760000000,2.2211990627
0.0240000000,0.0980000000,-0.0240000000,-0.0980000000,2.2211990627
0.0240000000,0.1200000000,-0.0240000000,-0.1200000000,2.2211990627
0.0240000000,0.1420000000,-0.0240000000,-0.1420000000,2.2211990627
0.0240000000,0.1640000000,-0.0240000000,-0.1640000000,2.2211990627
0.0240000000,0.1860000000,-0.0240000000,-0.1860000000,2.2211990627
0.0240000000,0.2080000000,-0.0240000000,-0.2080000000,2.2211990627
0.0240000000,0.2300000000,-0.0240000000,-0.2300000000,2.2211990627
0.0240000000,0.2520000000,-0.0240000000,-0.2520000000,2.2211990627
0.0240000000,0.2740000000,-0.0240000000,-0.2740000000,2.2211990627
0.0240000000,0.2960000000,-0.0240000000,-0.2960000000,2.2211990627
0.0240000000,0.3180000000,-0.0240000000,-0.3180000000,2.2211990627
0.0240000000,0.3400000000,-0.0240000000,-0.3400000000,2.2211990627
0.0240000000,0.3620000000,-0.0240000000,-0.3620000000,2.2211990627
0.0240000000,0.3840000000,-0.0240000000,-0.3840000000,2.2211990627
0.0240000000,0.4060000000,-0.0240000000,-0.4060000000,2.2211990627
0.0240000000,0.4280000000,-0.0240000000,-0.4280000000,2.2211990627
0.0240000000,0.4500000000,-0.0240000000,-0.4500000000,2.2211990627
0.0240000000,0.4720000000,-0.0240000000,-0.4720000000,2.2211990627
0.0240000000,0.4940000000,-0.0240000000,-0.4940000000,2.2211990627
0.0240000000,0.5160000000,-0.0240000000,-0.5160000000,2.2211990627
0.0240000000,0.5380000000,-0.0240000000,-0.5380000000,2.2211990627
0.0240000000,0.5600000000,-0.0240000000,-0.5600000000,2.2211990627
0.0240000000,0.5820000000,-0.0240000000,-0.5820000000,2.2211990627
0.0240000000,0.6040000000,-0.0240000000,-0.6040000000,2.2211990627
0.0240000000,0.6260000000,-0.0240000000,-0.6260000000,2.2211990627
0.0240000000,0.6480000000,-0.0240000000,-0.6480000000,2.2211990627
0.0240000000,0.6700000000,-0.0240000000,-0.6700000000,2.2211990627
0.0240000000,0.6920000000,-0.0240000000,-0.6920000000,2.2211990627
0.0240000000,0.7140000000,-0.0240000000,-0.7140000000,2.2211990627
0.0240000000,0.7360000000,-0.0240000000,-0.7360000000,2.2211990627
0.0240000000,0.7580000000,-0.0240000000,-0.7580000000,2.2211990627
0.0240000000,0.7800000000,-0.0240000000,-0.7800000000,2.2211990627
0.0240000000,0.8020000000,-0.0240000000,-0.8020000000,2.2211990627
0.0240000000,0.8240000000,-0.0240000000,-0.8240000000,2.2211990627
0.0240000000,0.8460000000,-0.0240000000,-0.8460000000,2.2211990627
0.0240000000,0.8680000000,-0.0240000000,-0.8680000000,2.2211990627
0.0240000000,0.8900000000,-0.0240000000,-0.8900000000,2.2211990627
0.0240000000,0.9120000000,-0.0240000000,-0.9120000000,2.2211990627
0.0240000000,0.9340000000,-0.0240000000,-0.9340000000,2.2211990627
0.0240000000,0.9560000000,-0.0240000000,-0.9560000000,2.2211990627
0.0240000000,0.9780000000,-0.0240000000,-0.9780000000,2.2211990627
0.0240000000,1.0000000000,-0.0240000000,-1.0000000000,2.2211990627
0.0360000000,-0.1000000000,-0.0360000000,0.1000000000,2.2146411427
0.0360000000,-0.0780000000,-0.0360000000,0.0780000000,2.2146411427
0.0360000000,-0.0560000000,-0.0360000000,0.0560000000,2.2146411427
0.0360000000,-0.0340000000,-0.0360000000,0.0340000000,2.2146411427
0.0360000000,-0.0120000000,-0.0360000000,0.0120000000,2.2146411427
0.0360000000,0.0100000000,-0.0360000000,-0.0100000000,2.2146411427
0.0360000000,0.0320000000,-0.0360000000,-0.0320000000,2.2146411427
0.0360000000,0.0540000000,-0.0360000000,-0.0540000000,2.2146411427
0.0360000000,0.0760000000,-0.0360000000,-0.0760000000,2.2146411427
0.0360000000,0.0980000000,-0.0360000000,-0.0980000000,2.2146411427
0.0360000000,0.1200000000,-0.0360000000,-0.1200000000,2.2146411427
0.0360000000,0.1420000000,-0.0360000000,-0.1420000000,2.2146411427
0.0360000000,0.1640000000,-0.0360000000,-0.1640000000,2.2146411427
0.0360000000,0.1860000000,-0.0360000000,-0.1860000000,2.2146411427
0.0360000000,0.2080000000,-0.0360000000,-0.2080000000,2.2146411427
0.0360000000,0.2300000000,-0.0360000000,-0.2300000000,2.2146411427
0.0360000000,0.2520000000,-0.0360000000,-0.2520000000,2.2146411427
0.0360000000,0.2740000000,-0.0360000000,-0.2740000000,2.2146411427
0.0360000000,0.2960000000,-0.0360000000,-0.2960000000,2.2146411427
0.0360000000,0.3180000000,-0.0360000000,-0.3180000000,2.2146411427
0.0360000000,0.3400000000,-0.0360000000,-0.3400000000,2.2146411427
0.0360000000,0.3620000000,-0.0360000000,-0.3620000000,2.2146411427
0.0360000000,0.3840000000,-0.0360000000,-0.3840000000,2.2146411427
0.0360000000,0.4060000000,-0.0360000000,-0.4060000000,2.2146411427
0.0360000000,0.4280000000,-0.0360000000,-0.4280000000,2.2146411427
0.0360000000,0.4500000000,-0.0360000000,-0.4500000000,2.2146411427
0.0360000000,0.4720000000,-0.0360000000,-0.4720000000,2.2146411427
0.0360000000,0.4940000000,-0.0360000000,-0.4940000000,2.2146411427
0.0360000000,0.5160000000,-0.0360000000,-0.5160000000,2.2146411427
0.0360000000,0.5380000000,-0.0360000000,-0.5380000000,2.2146411427
0.0360000000,0.5600000000,-0.0360000000,-0.5600000000,2.2146411427
0.0360000000,0.5820000000,-0.0360000000,-0.5820000000,2.2146411427
0.0360000000,0.6040000000,-0.0360000000,-0.6040000000,2.2146411427
0.0360000000,0.6260000000,-0.0360000000,-0.6260000000,2.2146411427
0.0360000000,0.6480000000,-0.0360000000,-0.6480000000,2.2146411427
0.0360000000,0.6700000000,-0.0360000000,-0.6700000000,2.2146411427
0.0360000000,0.6920000000,-0.0360000000,-0.6920000000,2.2146411427
0.0360000000,0.7140000000,-0.0360000000,-0.7140000000,2.2146411427
0.0360000000,0.7360000000,-0.0360000000,-0.7360000000,2.2146411427
0.0360000000,0.7580000000,-0.0360000000,-0.7580000000,2.2146411427
0.0360000000,0.7800000000,-0.0360000000,-0.7800000000,2.2146411427
0.0360000000,0.8020000000,-0.0360000000,-0.8020000000,2.2146411427
0.0360000000,0.8240000000,-0.0360000000,-0.8240000000,2.2146411427
0.0360000000,0.8460000000,-0.0360000000,-0.8460000000,2.2146411427
0.0360000000,0.8680000000,-0.0360000000,-0.8680000000,2.2146411427
0.0360000000,0.8900000000,-0.0360000000,-0.8900000000,2.2146411427
0.0360000000,0.9120000000,-0.0360000000,-0.9120000000,2.2146411427
0.0360000000,0.9340000000,-0.0360000000,-0.9340000000,2.2146411427
0.0360000000,0.9560000000,-0.0360000000,-0.9560000000,2.2146411427
0.0360000000,0.9780000000,-0.0360000000,-0.9780000000,2.2146411427
0.0360000000,1.0000000000,-0.0360000000,-1.0000000000,2.2146411427
0.0480000000,-0.1000000000,-0.0480000000,0.1000000000,2.2079740395
0.0480000000,-0.0780000000,-0.0480000000,0.0780000000,2.2079740395
0.0480000000,-0.0560000000,-0.0480000000,0.0560000000,2.2079740395
0.0480000000,-0.0340000000,-0.0480000000,0.0340000000,2.2079740395
0.0480000000,-0.0120000000,-0.0480000000,0.0120000000,2.2079740395
0.0480000000,0.0100000000,-0.0480000000,-0.0100000000,2.2079740395
0.0480000000,0.0320000000,-0.0480000000,-0.0320000000,2.2079740395
0.0480000000,0.0540000000,-0.0480000000,-0.0540000000,2.2079740395
0.0480000000,0.0760000000,-0.0480000000,-0.0760000000,2.2079740395
0.0480000000,0.0980000000,-0.0480000000,-0.0980000000,2.2079740395
0.0480000000,0.1200000000,-0.0480000000,-0.1200000000,2.2079740395
0.0480000000,0.1420000000,-0.0480000000,-0.1420000000,2.2079740395
0.0480000000,0.1640000000,-0.0480000000,-0.1640000000,2.2079740395
0.0480000000,0.1860000000,-0.0480000000,-0.1860000000,2.2079740395
0.0480000000,0.2080000000,-0.0480000000,-0.2080000000,2.2079740395
0.0480000000,0.2300000000,-0.0480000000,-0.2300000000,2.2079740395
0.0480000000,0.2520000000,-0.0480000000,-0.2520000000,2.2079740395
0.0480000000,0.2740000000,-0.0480000000,-0.2740000000,2.2079740395
0.0480000000,0.2960000000,-0.0480000000,-0.2960000000,2.2079740395
0.0480000000,0.3180000000,-0.0480000000,-0.3180000000,2.2079740395
0.0480000000,0.3400000000,-0.0480000000,-0.3400000000,2.2079740395
0.0480000000,0.3620000000,-0.0480000000,-0.3620000000,2.2079740395
0.0480000000,0.3840000000,-0.0480000000,-0.3840000000,2.2079740395
0.0480000000,0.4060000000,-0.0480000000,-0.4060000000,2.2079740395
0.0480000000,0.4280000000,-0.0480000000,-0.4280000000,2.2079740395
0.0480000000,0.4500000000,-0.0480000000,-0.4500000000,2.2079740395
0.0480000000,0.4720000000,-0.0480000000,-0.4720000000,2.2079740395
0.0480000000,0.4940000000,-0.0480000000,-0.4940000000,2.2079740395
0.0480000000,0.5160000000,-0.0480000000,-0.5160000000,2.2079740395
0.0480000000,0.5380000000,-0.0480000000,-0.5380000000,2.2079740395
0.0480000000,0.5600000000,-0.0480000000,-0.5600000000,2.2079740395
0.0480000000,0.5820000000,-0.0480000000,-0.5820000000,2.2079740395
0.0480000000,0.6040000000,-0.0480000000,-0.6040000000,2.2079740395
0.0480000000,0.6260000000,-0.0480000000,-0.6260000000,2.2079740395
0.0480000000,0.6480000000,-0.0480000000,-0.6480000000,2.2079740395
0.0480000000,0.6700000000,-0.0480000000,-0.6700000000,2.2079740395
0.0480000000,0.6920000000,-0.0480000000,-0.6920000000,2.2079740395
0.0480000000,0.7140000000,-0.0480000000,-0.7140000000,2.2079740395
0.0480000000,0.7360000000,-0.0480000000,-0.7360000000,2.2079740395
0.0480000000,0.7580000000,-0.0480000000,-0.7580000000,2.2079740395
0.0480000000,0.7800000000,-0.0480000000,-0.7800000000,2.2079740395
0.0480000000,0.8020000000,-0.0480000000,-0.8020000000,2.2079740395
0.0480000000,0.8240000000,-0.0480000000,-0.8240000000,2.2079740395
0.0480000000,0.8460000000,-0.0480000000,-0.8460000000,2.2079740395
0.0480000000,0.8680000000,-0.0480000000,-0.8680000000,2.2079740395
0.0480000000,0.8900000000,-0.0480000000,-0.8900000000,2.2079740395
0.0480000000,0.9120000000,-0.0480000000,-0.9120000000,2.2079740395
0.0480000000,0.9340000000,-0.0480000000,-0.9340000000,2.2079740395
0.0480000000,0.9560000000,-0.0480000000,-0.9560000000,2.2079740395
0.0480000000,0.9780000000,-0.0480000000,-0.9780000000,2.2079740395
0.0480000000,1.0000000000,-0.0480000000,-1.0000000000,2.2079740395
0.0600000000,-0.1000000000,-0.0600000000,0.1000000000,2.2011977530
0.0600000000,-0.0780000000,-0.0600000000,0.0780000000,2.2011977530
0.0600000000,-0.0560000000,-0.0600000000,0.0560000000,2.2011977530
0.0600000000,-0.0340000000,-0.0600000000,0.0340000000,2.2011977530
0.0600000000,-0.0120000000,-0.0600000000,0.0120000000,2.2011977530
0.0600000000,0.0100000000,-0.0600000000,-0.0100000000,2.2011977530
0.0600000000,0.0320000000,-0.0600000000,-0.0320000000,2.2011977530
0.0600000000,0.0540000000,-0.0600000000,-0.0540000000,2.2011977530
0.0600000000,0.0760000000,-0.0600000000,-0.0760000000,2.2011977530
0.0600000000,0.0980000000,-0.0600000000,-0.0980000000,2.2011977530
0.0600000000,0.1200000000,-0.0600000000,-0.1200000000,2.2011977530
0.0600000000,0.1420000000,-0.0600000000,-0.1420000000,2.2011977530
0.0600000000,0.1640000000,-0.0600000000,-0.1640000000,2.2011977530
0.0600000000,0.1860000000,-0.0600000000,-0.1860000000,2.2011977530
0.0600000000,0.2080000000,-0.0600000000,-0.2080000000,2.2011977530
0.0600000000,0.2300000000,-0.0600000000,-0.2300000000,2.2011977530
0.0600000000,0.2520000000,-0.0600000000,-0.2520000000,2.2011977530
0.0600000000,0.2740000000,-0.0600000000,-0.2740000000,2.2011977530
0.0600000000,0.2960000000,-0.0600000000,-0.2960000000,2.2011977530
0.0600000000,0.3180000000,-0.0600000000,-0.3180000000,2.2011977530
0.0600000000,0.3400000000,-0.0600000000,-0.3400000000,2.2011977530
0.0600000000,0.3620000000,-0.0600000000,-0.3620000000,2.2011977530
0.0600000000,0.3840000000,-0.0600000000,-0.3840000000,2.2011977530
0.0600000000,0.4060000000,-0.0600000000,-0.4060000000,2.2011977530
0.0600000000,0.4280000000,-0.0600000000,-0.4280000000,2.2011977530
0.0600000000,0.4500000000,-0.0600000000,-0.4500000000,2.2011977530
0.0600000000,0.4720000000,-0.0600000000,-0.4720000000,2.2011977530
0.0600000000,0.4940000000,-0.0600000000,-0.4940000000,2.2011977530
0.0600000000,0.5160000000,-0.0600000000,-0.5160000000,2.2011977530
0.0600000000,0.5380000000,-0.0600000000,-0.5380000000,2.2011977530
0.0600000000,0.5600000000,-0.0600000000,-0.5600000000,2.2011977530
0.0600000000,0.5820000000,-0.0600000000,-0.5820000000,2.2011977530
0.0600000000,0.6040000000,-0.0600000000,-0.6040000000,2.2011977530
0.0600000000,0.6260000000,-0.0600000000,-0.6260000000,2.2011977530
0.0600000000,0.6480000000,-0.0600000000,-0.6480000000,2.2011977530
0.0600000000,0.6700000000,-0.0600000000,-0.6700000000,2.2011977530
0.0600000000,0.6920000000,-0.0600000000,-0.6920000000,2.2011977530
0.0600000000,0.7140000000,-0.0600000000,-0.7140000000,2.2011977530
0.0600000000,0.7360000000,-0.0600000000,-0.7360000000,2.2011977530
0.0600000000,0.7580000000,-0.0600000000,-0.7580000000,2.2011977530
0.0600000000,0.7800000000,-0.0600000000,-0.7800000000,2.2011977530
0.0600000000,0.8020000000,-0.0600000000,-0.8020000000,2.2011977530
0.0600000000,0.8240000000,-0.0600000000,-0.8240000000,2.2011977530
0.0600000000,0.8460000000,-0.0600000000,-0.8460000000,2.2011977530
0.0600000000,0.8680000000,-0.0600000000,-0.8680000000,2.2011977530
0.0600000000,0.8900000000,-0.0600000000,-0.8900000000,2.2011977530
0.0600000000,0.9120000000,-0.0600000000,-0.9120000000,2.2011977530
0.0600000000,0.9340000000,-0.0600000000,-0.9340000000,2.2011977530
0.0600000000,0.9560000000,-0.0600000000,-0.9560000000,2.2011977530
0.0600000000,0.9780000000,-0.0600000000,-0.9780000000,2.2011977530
0.0600000000,1.0000000000,-0.0600000000,-1.0000000000,2.2011977530
0.0720000000,-0.1000000000,-0.0720000000,0.1000000000,2.1943122833
0.0720000000,-0.0780000000,-0.0720000000,0.0780000000,2.1943122833
0.0720000000,-0.0560000000,-0.0720000000,0.0560000000,2.1943122833
0.0720000000,-0.0340000000,-0.0720000000,0.0340000000,2.1943122833
0.0720000000,-0.0120000000,-0.0720000000,0.0120000000,2.1943122833
0.0720000000,0.0100000000,-0.0720000000,-0.0100000000,2.1943122833
0.0720000000,0.0320000000,-0.0720000000,-0.0320000000,2.1943122833
0.0720000000,0.0540000000,-0.0720000000,-0.0540000000,2.1943122833
0.0720000000,0.0760000000,-0.0720000000,-0.0760000000,2.1943122833
0.0720000000,0.0980000000,-0.0720000000,-0.0980000000,2.1943122833
0.0720000000,0.1200000000,-0.0720000000,-0.1200000000,2.1943122833
0.0720000000,0.1420000000,-0.0720000000,-0.1420000000,2.1943122833
0.0720000000,0.1640000000,-0.0720000000,-0.1640000000,2.1943122833
0.0720000000,0.1860000000,-0.0720000000,-0.1860000000,2.1943122833
0.0720000000,0.2080000000,-0.0720000000,-0.2080000000,2.1943122833
0.0720000000,0.2300000000,-0.0720000000,-0.2300000000,2.1943122833
0.0720000000,0.2520000000,-0.0720000000,-0.2520000000,2.1943122833
0.0720000000,0.2740000000,-0.0720000000,-0.2740000000,2.1943122833
0.0720000000,0.2960000000,-0.0720000000,-0.2960000000,2.1943122833
0.0720000000,0.3180000000,-0.0720000000,-0.3180000000,2.1943122833
0.0720000000,0.3400000000,-0.0720000000,-0.3400000000,2.1943122833
0.0720000000,0.3620000000,-0.0720000000,-0.3620000000,2.1943122833
0.0720000000,0.3840000000,-0.0720000000,-0.3840000000,2.1943122833
0.0720000000,0.4060000000,-0.0720000000,-0.4060000000,2.1943122833
0.0720000000,0.4280000000,-0.0720000000,-0.4280000000,2.1943122833
0.0720000000,0.4500000000,-0.0720000000,-0.4500000000,2.1943122833
0.0720000000,0.4720000000,-0.0720000000,-0.4720000000,2.1943122833
0.0720000000,0.4940000000,-0.0720000000,-0.4940000000,2.1943122833
0.0720000000,0.5160000000,-0.0720000000,-0.5160000000,2.1943122833
0.0720000000,0.5380000000,-0.0720000000,-0.5380000000,2.1943122833
0.0720000000,0.5600000000,-0.0720000000,-0.5600000000,2.1943122833
0.0720000000,0.5820000000,-0.0720000000,-0.5820000000,2.1943122833
0.0720000000,0.6040000000,-0.0720000000,-0.6040000000,2.1943122833
0.0720000000,0.6260000000,-0.0720000000,-0.6260000000,2.1943122833
0.0720000000,0.6480000000,-0.0720000000,-0.6480000000,2.1943122833
0.0720000000,0.6700000000,-0.0720000000,-0.6700000000,2.1943122833
0.0720000000,0.6920000000,-0.0720000000,-0.6920000000,2.1943122833
0.0720000000,0.7140000000,-0.0720000000,-0.7140000000,2.1943122833
0.0720000000,0.7360000000,-0.0720000000,-0.7360000000,2.1943122833
0.0720000000,0.7580000000,-0.0720000000,-0.7580000000,2.1943122833
0.0720000000,0.7800000000,-0.0720000000,-0.7800000000,2.1943122833
0.0720000000,0.8020000000,-0.0720000000,-0.8020000000,2.1943122833
0.0720000000,0.8240000000,-0.0720000000,-0.8240000000,2.1943122833
0.0720000000,0.8460000000,-0.0720000000,-0.8460000000,2.1943122833
0.0720000000,0.8680000000,-0.0720000000,-0.8680000000,2.1943122833
0.0720000000,0.8900000000,-0.0720000000,-0.8900000000,2.1943122833
0.0720000000,0.9120000000,-0.0720000000,-0.9120000000,2.1943122833
0.0720000000,0.9340000000,-0.0720000000,-0.9340000000,2.1943122833
0.0720000000,0.9560000000,-0.0720000000,-0.9560000000,2.1943122833
0.0720000000,0.9780000000,-0.0720000000,-0.9780000000,2.1943122833
0.0720000000,1.0000000000,-0.0720000000,-1.0000000000,2.1943122833
0.0840000000,-0.1000000000,-0.0840000000,0.1000000000,2.1873176303
0.0840000000,-0.0780000000,-0.0840000000,0.0780000000,2.1873176303
0.0840000000,-0.0560000000,-0.0840000000,0.0560000000,2.1873176303
0.0840000000,-0.0340000000,-0.0840000000,0.0340000000,2.1873176303
0.0840000000,-0.0120000000,-0.0840000000,0.0120000000,2.1873176303
0.0840000000,0.0100000000,-0.0840000000,-0.0100000000,2.1873176303
0.0840000000,0.0320000000,-0.0840000000,-0.0320000000,2.1873176303
0.0840000000,0.0540000000,-0.0840000000,-0.0540000000,2.1873176303
0.0840000000,0.0760000000,-0.0840000000,-0.0760000000,2.1873176303
0.0840000000,0.0980000000,-0.0840000000,-0.0980000000,2.1873176303
0.0840000000,0.1200000000,-0.0840000000,-0.1200000000,2.1873176303
0.0840000000,0.1420000000,-0.0840000000,-0.1420000000,2.1873176303
0.0840000000,0.1640000000,-0.0840000000,-0.1640000000,2.1873176303
0.0840000000,0.1860000000,-0.0840000000,-0.1860000000,2.1873176303
0.0840000000,0.2080000000,-0.0840000000,-0.2080000000,2.1873176303
0.0840000000,0.2300000000,-0.0840000000,-0.2300000000,2.1873176303
0.0840000000,0.2520000000,-0.0840000000,-0.2520000000,2.1873176303
0.0840000000,0.2740000000,-0.0840000000,-0.2740000000,2.1873176303
0.0840000000,0.2960000000,-0.0840000000,-0.2960000000,2.1873176303
0.0840000000,0.3180000000,-0.0840000000,-0.3180000000,2.1873176303
0.0840000000,0.3400000000,-0.0840000000,-0.3400000000,2.1873176303
